run_name,frame_dose_rate,tilt_series_max_angle,tilt_series_min_angle,tilt_series_tilt_step,tomo-align_software,tomo-fiducial_alignment_status,tomo-voxel_spacing,ts-camera-model,ts-data_acquisition_software,ts-microscope-manufacturer,ts-microscope-model,ts-pixel_spacing,ts-spherical_aberration_constant,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_step,ts-tilting_scheme,ts-total_flux
ycw2013-09-10-31,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
ycw2013-09-10-32,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
ycw2013-09-10-33,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
ycw2013-09-10-36,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
ycw2013-09-10-37,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
ycw2013-09-10-38,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
ycw2013-09-10-39,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
ycw2013-09-10-40,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
ycw2013-09-10-41,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
ycw2013-09-10-42,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
ycw2013-09-10-43,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
ycw2013-09-10-44,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
ycw2013-09-10-45,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
ycw2013-09-10-46,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
ycw2013-09-10-47,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
ycw2013-09-10-48,20.0,50.0,-50.0,2.0,RAPTOR,FIDUCIAL,19.315,K2,UCSFTomo,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,2.0,starting tilt to max then min,20.0
